pid,name,type,typecode,lng,lat,tel,pname,cname,aname,missionid
B01770NF4Z,过风口,地名地址信息;普通地名;村庄级地名,190108,113.066725897,34.2728099814,,河南省,平顶山市,汝州市,25
B01760MU8N,平顶庙,地名地址信息;普通地名;村庄级地名,190108,113.136709359,34.2730962518,,河南省,许昌市,禹州市,41
B0FFIAVFW1,何家门村村民委员会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,113.094588218,34.2839282817,,河南省,郑州市,登封市,129
B01730HQ2X,苏张,地名地址信息;普通地名;村庄级地名,190108,113.664581802,34.2842355903,,河南省,郑州市,新郑市,153
B01730HVW0,上坡,地名地址信息;普通地名;村庄级地名,190108,113.052193445,34.2903425144,,河南省,郑州市,登封市,169
B0FFITGT07,观澜门,风景名胜;风景名胜;风景名胜,110200,113.691485011,34.2900675991,,河南省,郑州市,新郑市,209
B01730HQ0T,石夵,地名地址信息;普通地名;村庄级地名,190108,113.142831796,34.293241603,,河南省,郑州市,登封市,241
B01730HQ39,西岗上,地名地址信息;普通地名;村庄级地名,190108,113.688552887,34.2937649587,,河南省,郑州市,新郑市,265
B0FFGXAIFY,清潩河,地名地址信息;自然地名;河流,190204,113.690606934,34.2932636797,,河南省,郑州市,新郑市,265
B0FFHW7W6S,大雄山食府,餐饮服务;中餐厅;中餐厅,050100,113.116982831,34.295018324,13183018309,河南省,郑州市,登封市,297
B0FFJIKLG4,河南上优品农业科技有限公司,公司企业;公司企业;公司企业,170000,113.116955742,34.2956010413,,河南省,郑州市,登封市,297
B017309CWH,北孔楼,地名地址信息;普通地名;村庄级地名,190108,113.113444718,34.2949740365,,河南省,郑州市,登封市,297
B01730HQ00,鹅沟寨,地名地址信息;普通地名;村庄级地名,190108,113.152160037,34.2970212558,,河南省,郑州市,登封市,305
B01731ATOQ,三刘村,地名地址信息;普通地名;村庄级地名,190108,113.697988784,34.2954138511,,河南省,郑州市,新郑市,329
B01730K2R4,新郑市梨河镇三刘村村民委员会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,113.697988784,34.2954138511,,河南省,郑州市,新郑市,329
B01730K2R3,中共梨河镇三刘村支部委员会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,113.697988784,34.2954138511,,河南省,郑州市,新郑市,329
B01730HPWB,黑龙潭,地名地址信息;普通地名;村庄级地名,190108,112.89284431,34.3016089902,,河南省,郑州市,登封市,337
B01730HVWN,庄上,地名地址信息;普通地名;村庄级地名,190108,113.047248978,34.2987659376,,河南省,郑州市,登封市,369
B01730IA9V,鹅沟,地名地址信息;普通地名;村庄级地名,190108,113.155564664,34.2983938616,,河南省,郑州市,登封市,393
B01730JJRO,大潭沟,地名地址信息;自然地名;山,190203,113.105496675,34.3052897025,,河南省,郑州市,登封市,481
B01730HPVL,碾盘凹,地名地址信息;普通地名;村庄级地名,190108,112.839897829,34.3079484541,,河南省,郑州市,登封市,521
B01730IA9O,田家沟,地名地址信息;普通地名;村庄级地名,190108,112.877708811,34.3069169653,,河南省,郑州市,登封市,529
